Ma_Don_Vi,Ten_Don_Vi,SBD,Mon_Thi,Diem_Viet,Diem_Nghe,Diem_Doc,Diem_Noi,Tong_Diem,Giai,Lop,Truong
01,Thành phố Cần Thơ,01.01.03,Toán,,,,,17.500,K.Khích,12,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.01.07,Toán,,,,,15.500,K.Khích,11,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.01.08,Toán,,,,,17.500,K.Khích,12,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.01.09,Toán,,,,,18.500,Ba,12,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.01.12,Toán,,,,,15.500,K.Khích,12,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.01.14,Toán,,,,,14.500,K.Khích,12,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.01.18,Toán,,,,,16.000,K.Khích,12,THPT chuyên Nguyễn Thị Minh Khai
01,Thành phố Cần Thơ,01.01.19,Toán,,,,,15.500,K.Khích,11,THPT chuyên Nguyễn Thị Minh Khai
01,Thành phố Cần Thơ,01.01.22,Toán,,,,,20.500,Ba,12,THPT chuyên Nguyễn Thị Minh Khai
01,Thành phố Cần Thơ,01.02.03,Vật lí,,,,,14.250,K.Khích,11,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.02.10,Vật lí,,,,,10.750,K.Khích,12,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.02.16,Vật lí,,,,,17.000,Ba,12,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.02.22,Vật lí,,,,,15.000,Ba,12,THPT chuyên Lý Tự Trọng
01,Thành phố Cần Thơ,01.02.15,Vật lí,,,,,15.500,Ba,12,THPT chuyên Nguyễn Thị Minh Khai
01,Thành phố Cần Thơ,01.03.03,Hóa học,,,,,16.625,K.Khích,11,THPT chuyên Lý Tự Trọng
