Ma_Don_Vi,Ten_Don_Vi,SBD,Mon_Thi,Diem_Viet,Diem_Nghe,Diem_Doc,Diem_Noi,Tong_Diem,Giai,Lop,Truong
04,Bắc Kạn,04.01.03,Toán,,,,,17.500,K.Khích,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.03.04,Hoá học,,,,,12.625,K.Khích,11,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.03.05,Hoá học,,,,,17.500,Ba,11,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.03.01,Hoá học,,,,,14.250,K.Khích,11,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.04.04,Sinh học,,,,,18.250,K.Khích,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.06.03,Ngữ văn,,,,,12.500,K.Khích,11,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.06.07,Ngữ văn,,,,,12.500,K.Khích,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.06.08,Ngữ văn,,,,,12.500,K.Khích,11,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.06.01,Ngữ văn,,,,,12.500,K.Khích,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.06.04,Ngữ văn,,,,,12.500,K.Khích,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.07.01,Lịch sử,,,,,13.000,K.Khích,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.07.05,Lịch sử,,,,,14.000,K.Khích,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.07.09,Lịch sử,,,,,14.250,Ba,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.07.06,Lịch sử,,,,,15.000,Ba,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.07.04,Lịch sử,,,,,14.250,Ba,11,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.07.07,Lịch sử,,,,,13.000,K.Khích,11,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.08.08,Địa lí,,,,,12.500,K.Khích,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.08.02,Địa lí,,,,,14.250,Ba,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.08.05,Địa lí,,,,,13.750,Ba,12,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.08.01,Địa lí,,,,,12.750,K.Khích,11,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.08.04,Địa lí,,,,,13.250,K.Khích,11,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.09.02,Tiếng Anh,3.20,3.80,5.20,1.5,13.700,K.Khích,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.09.04,Tiếng Anh,3.30,3.30,5.50,1.3,13.400,K.Khích,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.09.01,Tiếng Anh,3.60,3.40,5.40,1.6,14.000,Ba,THPT Chuyên Bắc Kạn
04,Bắc Kạn,04.09.09,Tiếng Anh,3.70,2.70,5,1.4,12.800,K.Khích,THPT Chuyên Bắc Kạn
